NodeId,Lat,Long
1,16.20096363,108.1496961
2,16.20009729,108.1480553
3,16.19956348,108.1466508
4,16.19979101,108.1460907
5,15.96090041,107.9561706
6,15.961357,107.957892
7,16.19295637,108.1374302
8,16.19021945,108.134675
9,16.1901148,108.1344951
10,16.18736611,108.130802
11,16.18491108,108.1397227
12,16.06950464,108.19876
13,16.06960819,108.1992607
14,16.06235918,108.19297
15,16.06236988,108.1928665
16,16.04914666,108.2050426
17,16.04920832,108.2054966
18,16.04792427,108.2052901
19,16.04819975,108.2071932
20,16.068892,108.2037696
21,16.06843536,108.204025
22,16.07483449,108.2118993
23,16.07515664,108.211826
24,16.07266903,108.2217094
25,16.0725312,108.2217268
26,16.04820721,108.2102575
27,16.04927523,108.2109999
28,16.05955959,108.1926761
29,16.05412648,108.1925852
30,16.04602965,108.2070859
31,16.04442165,108.2085396
32,16.05136917,108.2102001
33,16.0512191,108.2104274
34,16.04326813,108.1884337
35,16.04315475,108.1880072
36,16.03279708,108.1892942
37,16.03365681,108.1909376
38,16.05384157,108.2154109
39,16.05366792,108.2154056
40,16.0480434,108.2138798
41,16.04798746,108.213344
42,16.04590685,108.2117918
43,16.04636062,108.2123325
44,16.07612992,108.2391637
45,16.07688473,108.2374051
46,16.06827117,108.2376263
47,16.06809578,108.2381315
48,16.03548853,108.2484987
49,16.03509945,108.2474307
50,16.03794933,108.2498572
51,16.03590567,108.2498656
52,16.02785591,108.2498364
53,16.02928602,108.2494754
54,16.1166345,108.2397815
55,16.11578371,108.23998
56,15.98660191,108.2779326
57,15.98585441,108.2767078
58,16.0226592,108.1750452
59,16.02320673,108.1764015
60,16.04344522,108.1532673
61,16.04557725,108.1545923
62,16.03586756,108.1754438
63,16.0360965,108.1763793
64,16.03354028,108.1746391
65,16.03506858,108.1739594
66,16.04419108,108.1884753
67,16.04408985,108.1881578
68,16.01024456,108.1790395
69,16.01267749,108.1807669
70,16.01323856,108.2040417
71,16.01354611,108.2039406
72,16.0392142,108.1905615
73,16.03799877,108.1909948
74,16.05334413,108.1859929
75,16.05272063,108.1844386
76,16.05364788,108.185578
77,16.0529539,108.1843047
78,16.0149116,108.1809596
79,16.01498354,108.1814871
80,16.01347308,108.1803402
81,16.01331721,108.1805943
82,16.01123151,108.1730189
83,16.0113215,108.1734332
84,16.01101628,108.173097
85,16.01110267,108.1734882
86,16.01078246,108.17315
87,16.01088262,108.1735428
88,16.06008643,108.2426183
89,16.05905557,108.2430249
90,16.07699492,108.2318881
91,16.07687541,108.2321658
92,16.08042547,108.2355272
93,16.0801934,108.2354041
94,16.06941762,108.1933512
95,16.06966258,108.192207
96,16.06716259,108.1840289
97,16.06717125,108.1829478
98,16.07032664,108.1558107
99,16.07004801,108.1552412
100,16.07551428,108.1512845
101,16.07574984,108.152706
102,16.07171715,108.1540073
103,16.07238285,108.1537511
104,16.05674307,108.2231814
105,16.05672686,108.2223093
106,16.07137376,108.2077589
107,16.07023173,108.2061596
108,16.05230662,108.2182169
109,16.05228742,108.2183009
110,16.06111206,108.2071685
111,16.06122113,108.2074639
112,16.09476811,108.1408305
113,16.09498687,108.1410462
114,16.04286559,108.2162979
115,16.04276269,108.2159966
116,16.04233398,108.2397908
117,16.04212527,108.2398831
118,16.04646765,108.2441588
119,16.04651143,108.2443112
120,16.0469848,108.2440304
121,16.04700868,108.2442143
122,16.04504595,108.2127422
123,16.04499361,108.21237
124,16.01978327,108.2131335
125,16.02025749,108.2127085
126,16.058861,108.1882721
127,16.05921492,108.1880346
128,16.05916302,108.1903373
129,16.05901894,108.1900719
130,16.1257059,108.1230209
131,16.12555948,108.1221738
132,16.12842688,108.1233017
133,16.12817868,108.1222795
134,16.12647665,108.1209683
135,16.12643127,108.1207357
136,16.13185652,108.1208203
137,16.13149409,108.1207175
138,16.13072999,108.115462
139,16.1311104,108.116967
140,16.14492008,108.1221731
141,16.14435912,108.1216899
142,16.12360059,108.1159362
143,16.12276216,108.1165706
144,16.12293135,108.1175992
145,16.12239717,108.1168587
146,16.12337933,108.1174469
147,16.12006511,108.106819
148,16.12277015,108.108236
149,16.10412306,108.2472667
150,16.103915,108.2477364
151,16.1047806,108.2515293
152,16.10514853,108.2506431
153,16.10584906,108.2445153
154,16.10601359,108.2452365
155,16.10866506,108.2416247
